epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
169,4897.11,0.7614,0.48476,1.0721,0.7935,0.80806,0.80294,0.63173,0.86038,0.39206,1.15678,0.0004456,0.0004456,0.0004456
170,4926.14,0.76294,0.49326,1.06913,0.79799,0.80683,0.80107,0.62822,0.85887,0.39071,1.1573,0.0004423,0.0004423,0.0004423
171,4955.03,0.76543,0.48408,1.07274,0.79363,0.81083,0.80064,0.62794,0.86301,0.38798,1.15408,0.000439,0.000439,0.000439
172,4983.85,0.77019,0.49754,1.07923,0.7959,0.80956,0.80247,0.63097,0.86117,0.39292,1.15417,0.0004357,0.0004357,0.0004357
173,5012.68,0.76514,0.49036,1.08026,0.78932,0.81257,0.80372,0.63754,0.86439,0.38987,1.14555,0.0004324,0.0004324,0.0004324
174,5041.68,0.75276,0.47503,1.07075,0.78951,0.81479,0.80414,0.63155,0.86979,0.39052,1.1526,0.0004291,0.0004291,0.0004291
175,5070.77,0.76306,0.47813,1.0708,0.9622,0.81061,0.8042,0.63368,0.86473,0.38002,1.14855,0.0004258,0.0004258,0.0004258
176,5099.68,0.76793,0.48334,1.0748,0.7919,0.80596,0.80552,0.63404,0.85581,0.38237,1.15416,0.0004225,0.0004225,0.0004225
177,5129.03,0.74462,0.47632,1.06646,0.78877,0.80918,0.80831,0.64385,0.85142,0.36755,1.13633,0.0004192,0.0004192,0.0004192
178,5158.18,0.74873,0.46872,1.06567,0.95951,0.79994,0.79997,0.63068,0.85861,0.37973,1.14692,0.0004159,0.0004159,0.0004159
179,5186.99,0.75326,0.46637,1.06905,0.96039,0.80856,0.80189,0.63045,0.86718,0.37889,1.15724,0.0004126,0.0004126,0.0004126
180,5215.68,0.75938,0.489,1.07555,0.79322,0.8097,0.80401,0.63347,0.85515,0.38753,1.14372,0.0004093,0.0004093,0.0004093
181,5244.7,0.7606,0.48308,1.07513,0.79991,0.80379,0.80562,0.63179,0.87297,0.38088,1.15427,0.000406,0.000406,0.000406
